# character	reading	attested
蛚	liè	liè
蛛	zhū	zhū
蛜	yī	yī
蛝	xián	xián
蛞	kuò	kuò|shé
蛟	jiāo	jiāo
蛠	lì	lì
蛡	yì	xǔ|yì
蛢	píng	píng
蛣	qī	jié|qiè|qī
蛤	há	gé|há|hā|é
蛥	shé	shé
蛦	yí	yí
蛧	wǎng	wǎng
蛨	mò	mò
蛩	qióng	gǒng|qióng
蛪	qiè	ní|qiè
蛫	guǐ	guǐ
蛬	qióng	qióng
蛭	zhì	zhì
蛮	mán	mán
蛯	lǎo	lǎo
蛰	zhé	zhé
蛱	jiá	jiá
蛲	náo	náo
蛳	sī	sī
蛴	qí	qí
蛵	xīng	xīng
蛶	jiè	jiè
蛷	qiú	qiú
蛸	shāo	shāo|xiāo
蛹	yǒng	yǒng
蛺	jiá	jiá
蛻	tuì	tuì
蛼	chē	chē
蛽	bèi	bèi
蛾	é	yǐ|é
蛿	hàn	hàn
蜀	shǔ	shǔ
蜁	xuán	xuán
